Name,Case_v_Ctrl_pvalue,Log2FC,Case_v_Ctrl_Flag
TG(16:0_18:0_18:2)_CoE,0.37739,0.8331,0
TG(16:0_18:0_18:3)_CoE,0.07605,1.169,0
TG(16:0_18:1_18:1)_CoE,0.37739,0.8331,0
TG(16:0_18:1_18:2)_CoE,0.07605,1.169,0
TG(16:0_18:1_18:3)_CoE,0.00369,1.2125,1
TG(16:0_18:1_19:1)_CoE,0.59656,0.3026,0
TG(16:0_18:2_18:2)_CoE,0.00369,1.2125,1
TG(16:0_18:2_18:3)_CoE,0.00139,2.2429,1
TG(16:0_18:2_19:0)_CoE,0.59656,0.3026,0
TG(16:0_18:2_19:1)_CoE,0.20846,0.6224,0
TG(16:0_18:3_18:3)_CoE,0.00723,2.2834,1
TG(16:1_16:1_18:2)_CoE,0.00357,1.7158,1
TG(16:1_17:0_18:1)_CoE,0.11385,1.02,0
TG(16:1_17:0_18:2)_CoE,0.02166,1.1766,1
TG(16:1_17:1_18:1)_CoE,0.02166,1.1766,1
TG(16:1_18:0_18:0),0.99406,0.0562,0
TG(16:1_18:0_18:1)_CoE,0.37739,0.8331,0
TG(16:1_18:0_18:2)_CoE,0.07605,1.169,0
TG(16:1_18:1_18:1)_CoE,0.07605,1.169,0
TG(16:1_18:1_18:2)_CoE,0.00369,1.2125,1
TG(16:1_18:1_18:3)_CoE,0.00139,2.2429,1
TG(16:1_18:2_18:2)_CoE,0.00139,2.2429,1
TG(16:1_18:2_18:3)_CoE,0.00723,2.2834,1
TG(17:0_18:0_18:2)_CoE,0.59656,0.3026,0
TG(17:0_18:1_18:1)_CoE,0.59656,0.3026,0
TG(17:0_18:1_18:2)_CoE,0.20846,0.6224,0
TG(17:0_18:2_18:2),0.11048,0.8925,0
TG(17:0_18:2_18:3)_CoE,0.00954,1.8417,1
TG(17:0_18:3_18:3),0.00157,1.3254,1
TG(17:1_18:0_18:2)_CoE,0.20846,0.6224,0
TG(17:1_18:1_18:1)_CoE,0.20846,0.6224,0
TG(17:1_18:1_18:3)_CoE,0.00954,1.8417,1
TG(17:1_18:2_18:2)_CoE,0.00954,1.8417,1
TG(17:1_18:2_18:3)_CoE,0.00083,1.5049,1
TG(17:1_18:2_18:4)_CoE,0.52575,1.3216,0
TG(17:1_18:3_18:3)_CoE,0.52575,1.3216,0
TG(17:2_18:1_18:3)_CoE,0.00083,1.5049,1
TG(17:2_18:2_18:2)_CoE,0.00083,1.5049,1
TG(17:2_18:2_18:3)_CoE,0.52575,1.3216,0
TG(18:0_18:0_18:0),0.68845,-0.1373,0
TG(18:0_18:1_18:1),0.93399,0.2975,0
TG(18:0_18:1_18:3)_CoE,0.42491,0.8245,0
TG(18:0_18:2_18:3)_CoE,0.06937,1.0735,0
TG(18:0_18:2_18:4)_CoE,0.00517,1.1229,1
TG(18:0_18:3_18:3)_CoE,0.00517,1.1229,1
TG(18:1_18:1_18:1),0.8769,0.463,0
TG(18:1_18:1_18:2)_CoE,0.42491,0.8245,0
TG(18:1_18:1_18:3)_CoE,0.06937,1.0735,0
TG(18:1_18:1_20:1),0.89027,0.4332,0
TG(18:1_18:2_18:2)_CoE,0.06937,1.0735,0
TG(18:1_18:2_18:3)_CoE,0.00517,1.1229,1
TG(18:1_18:2_18:4)_CoE,0.00065,1.851,1
TG(18:1_18:3_18:3)_CoE,0.00065,1.851,1
TG(18:2_18:2_18:3)_CoE,0.00065,1.851,1
TG(18:2_18:2_20:0),0.03807,1.5743,1
TG(18:2_18:3_18:3),0.00166,2.4825,1
TG(18:2_18:3_22:0),0.00704,1.5886,1
TG(18:3_18:3_18:3),0.00823,2.3474,1
TG(18:3_18:3_20:0),0.02429,1.0621,1
