Name,Case_v_Ctrl_pvalue,Log2FC,Case_v_Ctrl_Flag
DG(16:0_0:0_16:0),0.98922,0.0456,0
DG(16:0_18:0_0:0),0.52643,-0.4456,0
DG(16:0_18:1_0:0),0.00028,1.3618,1
DG(16:0_18:3_0:0),0.02147,1.4041,1
DG(16:1_18:2_0:0),0.02147,1.4041,1
DG(16:1_18:3_0:0),0.18146,0.8516,0
DG(18:0_0:0_18:0),0.4277,-0.4099,0
DG(18:1_0:0_18:1),0.80625,0.241,0
DG(18:1_18:2_0:0),0.51061,0.3392,0
DG(18:1_18:3_0:0),0.21699,0.5572,0
DG(18:2_0:0_18:2),0.21699,0.5572,0
DG(18:2_18:3_0:0),0.00943,1.6777,1
DG(18:3_18:3_0:0)_CoE,0.01959,1.9332,1
DG(18:4_18:2_0:0)_CoE,0.01959,1.9332,1
HexCer(d18:2_16:1),0.04318,1.0881,1
HexCer(d18:2_22:1),0.01196,1.3861,1
MGDG(16:2_18:2),0.42871,0.6135,0
MGDG(16:2_18:3),0.01313,1.2766,1
MGDG(18:3_18:3),0.0206,2.0129,1
PC(0:0_14:0),0.77054,0.4208,0
PC(0:0_16:0),0.07879,1.5106,0
PC(0:0_18:1)_A,0.1503,1.4932,0
PC(11:0_11:0),0.62683,0.9933,0
PC(16:0_18:1),0.00525,1.2263,1
PC(16:0_18:2),0.11615,0.9481,0
PC(16:0_18:3),0.00565,2.2425,1
PC(17:2_0:0),0.04091,1.3315,1
PC(18:0_18:3),0.11285,0.9597,0
PC(18:1_18:2),0.30239,0.7624,0
PC(18:1_18:3),0.31096,0.8275,0
PC(18:2_0:0)_A,0.07756,1.1335,0
PC(18:2_18:2),0.31096,0.8275,0
PC(18:2_18:3),0.05015,1.4492,0
PC(18:3_0:0)_A,0.00293,2.1322,1
PC(18:3_0:0)_B,0.00101,1.7603,1
PC(18:3_18:3),0.00923,2.4447,1
SQDG(16:0_16:0),0.3325,0.6068,0
SQDG(16:0_18:1),0.02474,1.175,1
SQDG(16:0_18:2),0.10727,1.2382,0
SQDG(16:0_18:3)_A,0.10531,1.5941,0
SQDG(16:0_18:3)_B,0.10447,1.559,0
SQDG(16:2_16:3),0.82915,0.4469,0
SQDG(18:0_18:3),0.03942,1.3984,1
SQDG(18:1_18:3),0.28228,0.9367,0
SQDG(18:2_18:3)_A,0.58215,0.5583,0
SQDG(18:2_18:3)_B,0.18372,1.0691,0
SQDG(18:3_18:3)_A,0.05035,1.1479,0
SQDG(18:3_18:3)_B,0.20658,1.0253,0
TG(12:0_14:0_16:0),0.86136,-0.074,0
TG(12:0_15:0_16:0)_CoE,0.99844,0.0071,0
TG(12:0_16:0_16:0)_CoE,0.83392,-0.0494,0
TG(12:0_16:0_17:0)_CoE,0.94553,-0.0304,0
TG(12:0_16:0_17:1)_CoE,0.64167,-0.0766,0
TG(12:0_16:1_18:1)_CoE,0.70215,-0.0991,0
TG(13:0_14:0_16:0)_CoE,0.99844,0.0071,0
TG(13:0_14:0_17:0)_CoE,0.83392,-0.0494,0
TG(13:0_15:0_15:0)_CoE,0.99844,0.0071,0
TG(13:0_15:0_16:0)_CoE,0.83392,-0.0494,0
TG(13:0_15:0_17:0)_CoE,0.94553,-0.0304,0
TG(13:0_15:0_17:1)_CoE,0.64167,-0.0766,0
TG(13:0_15:0_18:1)_CoE,0.58975,-0.1247,0
TG(13:0_16:0_16:0)_CoE,0.94553,-0.0304,0
TG(13:0_16:0_16:1)_CoE,0.64167,-0.0766,0
TG(13:0_16:0_17:0)_CoE,0.92986,-0.04,0
TG(14:0_14:0_15:0)_CoE,0.99844,0.0071,0
TG(14:0_14:0_16:0)_CoE,0.83392,-0.0494,0
TG(14:0_14:0_16:1),0.8765,-0.0751,0
TG(14:0_14:0_18:1)_CoE,0.58975,-0.1247,0
TG(14:0_14:1_18:1)_CoE,0.70215,-0.0991,0
TG(14:0_15:0_16:0)_CoE,0.94553,-0.0304,0
TG(14:0_15:0_16:1)_CoE,0.64167,-0.0766,0
TG(14:0_15:0_17:0)_CoE,0.92986,-0.04,0
TG(14:0_15:0_18:0)_CoE,0.931,0.036,0
TG(14:0_15:0_18:1)_CoE,0.57591,-0.1063,0
TG(14:0_15:1_18:1)_CoE,0.96695,0.0257,0
TG(14:0_15:1_18:2)_CoE,0.34035,-0.2013,0
TG(14:0_16:0_16:0)_CoE,0.92986,-0.04,0
TG(14:0_16:0_16:1)_CoE,0.58975,-0.1247,0
TG(14:0_16:0_17:0)_CoE,0.931,0.036,0
TG(14:0_16:0_17:1)_CoE,0.57591,-0.1063,0
TG(14:0_16:1_16:1)_CoE,0.70215,-0.0991,0
TG(14:0_16:1_17:0)_CoE,0.57591,-0.1063,0
TG(14:0_16:1_18:1)_CoE,0.49808,0.1682,0
TG(14:0_18:0_18:1)_CoE,0.05971,0.9,0
TG(14:0_18:0_20:0)_CoE,0.43762,-0.2376,0
TG(14:0_18:1_18:3)_CoE,0.00357,1.7158,1
TG(14:0_18:2_18:3),0.00593,1.747,1
TG(14:1_15:0_18:1)_CoE,0.96695,0.0257,0
TG(14:1_15:1_18:1)_CoE,0.34035,-0.2013,0
TG(14:1_16:0_16:1)_CoE,0.70215,-0.0991,0
TG(14:1_16:0_18:1)_CoE,0.49808,0.1682,0
TG(14:1_16:1_16:1),0.98839,-0.0254,0
TG(14:1_16:1_18:0)_CoE,0.49808,0.1682,0
TG(15:0_15:0_16:1)_CoE,0.58975,-0.1247,0
TG(15:0_15:0_17:0)_CoE,0.931,0.036,0
TG(15:0_16:0_16:0)_CoE,0.931,0.036,0
TG(15:0_16:0_16:1)_CoE,0.57591,-0.1063,0
TG(15:0_16:0_17:0),0.29705,0.4727,0
TG(15:0_16:0_17:1)_CoE,0.45326,0.1306,0
TG(15:0_16:0_18:0)_CoE,0.76668,0.0987,0
TG(15:0_16:0_18:2)_CoE,0.04901,0.8633,1
TG(15:0_16:0_18:3)_CoE,0.02832,1.0313,1
TG(15:0_16:1_16:1)_CoE,0.96695,0.0257,0
TG(15:0_16:1_17:0)_CoE,0.45326,0.1306,0
TG(15:0_16:1_18:0)_CoE,0.08369,0.36,0
TG(15:0_16:1_18:1)_CoE,0.04901,0.8633,1
TG(15:0_16:1_18:2)_CoE,0.02832,1.0313,1
TG(15:0_17:0_17:0)_CoE,0.76668,0.0987,0
TG(15:0_17:0_17:1)_CoE,0.08369,0.36,0
TG(15:0_17:0_19:1)_CoE,0.31543,0.3553,0
TG(15:0_18:0_18:1)_CoE,0.31543,0.3553,0
TG(15:0_18:1_18:1)_CoE,0.11385,1.02,0
TG(15:0_18:1_18:2)_CoE,0.02166,1.1766,1
TG(15:0_18:2_18:2)_CoE,0.00324,1.4808,1
TG(15:0_18:2_18:3),0.001,2.4448,1
TG(15:0_18:3_18:3),0.0095,2.2773,1
TG(15:1_16:0_16:1)_CoE,0.96695,0.0257,0
TG(15:1_16:0_18:2)_CoE,0.02832,1.0313,1
TG(15:1_16:1_16:1)_CoE,0.34035,-0.2013,0
TG(16:0_16:0_16:1)_CoE,0.45326,0.1306,0
TG(16:0_16:0_17:0)_CoE,0.76668,0.0987,0
TG(16:0_16:0_18:0)_A,0.0956,1.086,0
TG(16:0_16:0_18:0)_B,0.99517,-0.0206,0
TG(16:0_16:0_18:2),0.99997,0.0097,0
TG(16:0_16:0_18:3)_CoE,0.0159,1.7286,1
TG(16:0_16:1_16:1)_CoE,0.49808,0.1682,0
TG(16:0_16:1_17:0)_CoE,0.08369,0.36,0
TG(16:0_16:1_18:0)_CoE,0.05971,0.9,0
TG(16:0_16:1_18:1),0.04093,1.3665,1
TG(16:0_16:1_18:2)_CoE,0.0159,1.7286,1
TG(16:0_16:1_18:3)_CoE,0.00357,1.7158,1
TG(16:0_17:0_18:0),0.94571,-0.035,0
TG(16:0_17:0_18:1)_CoE,0.31543,0.3553,0
TG(16:0_17:1_18:1)_CoE,0.11385,1.02,0
TG(16:0_17:2_18:2)_CoE,0.00324,1.4808,1
TG(16:0_18:0_18:0)_CoE,0.43762,-0.2376,0
TG(16:0_18:0_18:1),0.99119,0.0686,0
