abbrev,smi
TG(15:0_18:3_18:3),C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)CO(CCCCCCCCCCCCCC)=O
PC(16:0_18:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
PI(16:0_18:3)_A,[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
SQDG(18:0_18:3),[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
TG(18:2_18:2_20:0),C(OC(=O)CCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
TG(15:0_18:1_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(16:1_17:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=CCCCCCC)=O
TG(16:1_17:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
PG(16:0_0:0)_B,[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCCCCCCCCCC)=O)(=O)O
TG(16:0_16:1_18:1),C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
PG(16:0_18:2),[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O
SQDG(18:3_18:3)_A,[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
TG(18:3_18:3_20:0),C(OC(=O)CCCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
PG(16:1_18:3)_B,[H][C@](O)(CO)COP(OC[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(=O)O
TG(15:0_16:0_18:3)_CoE,C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(15:0_16:1_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(15:1_16:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCC)=O
PC(17:2_0:0),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(CCCCCCC/C=C\C/C=C\CCCC)=O
PI(16:0_16:0),[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCCCCCCCCCCCCC)=O
PE(16:0_18:3),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
TG(16:0_18:0_18:3)_CoE,C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:1_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:1_18:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(16:1_18:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
TG(16:0_16:0_18:0)_A,C(OC(=O)CCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
HexCer(d18:2_16:1),[C@](CO[C@@H]1O[C@H](CO)[C@H](O)C(O)C1O)([H])(NC(CCCCCCC/C=C\CCCCCC)=O)[C@]([H])(O)/C=C/CCCCCCCC/C=C\CCC
TG(15:0_16:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(15:0_16:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
DG(18:1_18:2_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
SQDG(16:0_18:3)_B,[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(=O)CCCCCCCCCCCCCCC
DG(16:1_18:3_0:0),OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
SQDG(16:0_16:0),[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCCCCCCCCCCCCC)=O)COC(=O)CCCCCCCCCCCCCCC
SQDG(16:0_18:3)_A,[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(=O)CCCCCCCCCCCCCCC
PE(18:2_18:3),[C@](COP(=O)(O)OCCN)([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
TG(16:0_18:2_19:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(17:0_18:1_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
TG(17:1_18:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
TG(17:1_18:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCC)=O
PC(18:2_0:0)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(O)COC(/C=C/C=C/CCCCCCCCCCCCC)=O
PC(18:2_18:3),[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
Cer(d18:0_16:0),[C@](CO)([H])(NC(CCCCCCCCCCCCCCC)=O)[C@]([H])(O)CCCCCCCCCCCCCCC
PC(0:0_18:1)_A,[C@](COP(=O)([O-])OCC[N+](C)(C)C)([H])(OC(CCCC/C=C\CCCCCCCCCCC)=O)CO
PE(15:0_18:3),[C@](COP(=O)(O)OCCN)([H])(OC(CCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O
TG(17:0_18:2_18:2),C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
PI(18:3_18:3),[C@]([H])(OC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O)(COP(=O)(O)O[C@@H]1C(O)[C@H](O)C(O)C(O)C1O)COC(CCCC/C=C\C/C=C\C/C=C\CCCCC)=O
TG(15:0_16:1_18:0)_CoE,C(OC(=O)CCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(15:0_17:0_17:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(16:0_16:1_17:0)_CoE,C(OC(=O)CCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(18:0_18:2_18:3)_CoE,C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCCCC)=O
TG(18:1_18:1_18:3)_CoE,C(OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
TG(18:1_18:2_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\CCCCCCCC)=O
TG(15:0_18:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCC)=O
TG(16:0_17:1_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:1_17:0_18:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\CCCCCC)=O
SQDG(16:0_18:2),[C@](CO[C@H]1O[C@H](CS(=O)(O)=O)[C@@H](O)C(O)C1O)([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(=O)CCCCCCCCCCCCCCC
PG(18:2_0:0)_B,[H][C@](O)(CO)COP(OC[C@]([H])(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(=O)O
CL(18:3_18:3_18:3_18:1),P(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)(O)(OC[C@](O)([H])COP(OC[C@]([H])(OC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)(O)=O)=O
PE(18:2_0:0),[C@](COP(=O)(O)OCCN)([H])(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
TG(16:0_18:1_19:1)_CoE,C(OC(=O)CCCCCCC/C=C\CCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(16:0_18:2_19:0)_CoE,C(OC(=O)CCCCCCCCCCCCCCCCCC)[C@]([H])(OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCCCCCCCCCC)=O
TG(17:0_18:0_18:2)_CoE,C(OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)[C@]([H])(OC(CCCCCCCCCCCCCCCCC)=O)COC(CCCCCCCCCCCCCCCC)=O
