Name,Case_v_Ctrl_pvalue,Log2FC,Case_v_Ctrl_Flag
TG(15:0_16:0_17:0),0.05049,0.7907,0
SQDG(18:3_18:3)_B,0.05606,1.7271,0
PC(18:0_18:3),0.08441,1.0324,0
PC(0:0_16:0),0.08644,1.4778,0
TG(15:0_16:0_17:1)_CoE,0.09035,0.2413,0
TG(15:0_16:1_17:0)_CoE,0.09035,0.2413,0
TG(16:0_16:0_16:1)_CoE,0.09035,0.2413,0
TG(14:0_15:0_18:0)_CoE,0.09504,0.2241,0
TG(14:0_16:0_17:0)_CoE,0.09504,0.2241,0
TG(15:0_15:0_17:0)_CoE,0.09504,0.2241,0
TG(15:0_16:0_16:0)_CoE,0.09504,0.2241,0
TG(16:0_18:0_18:2)_CoE,0.10554,1.3252,0
TG(16:0_18:1_18:1)_CoE,0.10554,1.3252,0
TG(16:1_18:0_18:1)_CoE,0.10554,1.3252,0
DG(16:0_0:0_16:0),0.12466,0.6812,0
PC(16:0_18:2),0.14623,0.8885,0
SQDG(18:2_18:3)_B,0.15336,1.5314,0
DG(18:1_0:0_18:1),0.17515,0.724,0
DG(18:1_18:3_0:0),0.24137,0.5354,0
DG(18:2_0:0_18:2),0.24137,0.5354,0
TG(16:0_16:0_18:0)_B,0.27434,0.3523,0
TG(18:0_18:1_18:3)_CoE,0.28124,1.0188,0
TG(18:1_18:1_18:2)_CoE,0.28124,1.0188,0
SQDG(18:1_18:3),0.28228,NaN,0
TG(16:0_18:0_18:1),0.31046,0.8229,0
TG(16:1_18:0_18:0),0.32898,0.7995,0
TG(14:1_16:1_16:1),0.35811,0.2471,0
TG(15:0_16:0_18:0)_CoE,0.38463,0.192,0
TG(15:0_17:0_17:0)_CoE,0.38463,0.192,0
TG(16:0_16:0_17:0)_CoE,0.38463,0.192,0
PC(18:1_18:3),0.48249,0.6434,0
PC(18:2_18:2),0.48249,0.6434,0
TG(18:0_18:1_18:1),0.51833,0.9423,0
PC(18:1_18:2),0.53275,0.542,0
MGDG(16:2_18:2),0.60076,0.4701,0
TG(12:0_16:1_18:1)_CoE,0.61011,-0.1178,0
TG(14:0_14:1_18:1)_CoE,0.61011,-0.1178,0
TG(14:0_16:1_16:1)_CoE,0.61011,-0.1178,0
TG(14:1_16:0_16:1)_CoE,0.61011,-0.1178,0
TG(13:0_15:0_18:1)_CoE,0.64854,0.1126,0
TG(14:0_14:0_18:1)_CoE,0.64854,0.1126,0
TG(14:0_16:0_16:1)_CoE,0.64854,0.1126,0
TG(15:0_15:0_16:1)_CoE,0.64854,0.1126,0
PC(11:0_11:0),0.65193,0.9494,0
TG(18:0_18:0_18:0),0.69672,-0.135,0
TG(12:0_16:0_17:0)_CoE,0.73773,0.0713,0
TG(13:0_15:0_17:0)_CoE,0.73773,0.0713,0
TG(13:0_16:0_16:0)_CoE,0.73773,0.0713,0
TG(14:0_15:0_16:0)_CoE,0.73773,0.0713,0
PC(0:0_14:0),0.74034,-0.4525,0
TG(12:0_16:0_17:1)_CoE,0.7426,-0.0624,0
TG(13:0_15:0_17:1)_CoE,0.7426,-0.0624,0
TG(13:0_16:0_16:1)_CoE,0.7426,-0.0624,0
TG(14:0_15:0_16:1)_CoE,0.7426,-0.0624,0
SQDG(16:2_16:3),0.77224,0.5263,0
TG(13:0_16:0_17:0)_CoE,0.80556,0.0693,0
TG(14:0_15:0_17:0)_CoE,0.80556,0.0693,0
TG(14:0_16:0_16:0)_CoE,0.80556,0.0693,0
TG(16:0_16:0_18:2),0.84117,0.7044,0
TG(18:1_18:1_18:1),0.84577,0.5235,0
DG(18:0_0:0_18:0),0.85301,-0.173,0
TG(14:0_15:1_18:1)_CoE,0.86009,0.0547,0
TG(14:1_15:0_18:1)_CoE,0.86009,0.0547,0
TG(15:0_16:1_16:1)_CoE,0.86009,0.0547,0
TG(15:1_16:0_16:1)_CoE,0.86009,0.0547,0
TG(14:0_15:1_18:2)_CoE,0.88522,-0.0655,0
TG(14:1_15:1_18:1)_CoE,0.88522,-0.0655,0
TG(15:1_16:1_16:1)_CoE,0.88522,-0.0655,0
TG(17:1_18:2_18:4)_CoE,0.90021,-0.5242,0
TG(17:1_18:3_18:3)_CoE,0.90021,-0.5242,0
TG(17:2_18:2_18:3)_CoE,0.90021,-0.5242,0
TG(14:0_15:0_18:1)_CoE,0.90474,0.0446,0
TG(14:0_16:0_17:1)_CoE,0.90474,0.0446,0
TG(14:0_16:1_17:0)_CoE,0.90474,0.0446,0
TG(15:0_16:0_16:1)_CoE,0.90474,0.0446,0
TG(18:1_18:1_20:1),0.92632,0.351,0
TG(14:0_14:0_16:1),0.93935,-0.0516,0
TG(12:0_14:0_16:0),0.95792,-0.0395,0
DG(16:0_18:0_0:0),0.9719,-0.0919,0
TG(16:0_17:0_18:0),0.98672,0.0172,0
TG(12:0_16:0_16:0)_CoE,0.99336,-0.0094,0
TG(13:0_14:0_17:0)_CoE,0.99336,-0.0094,0
TG(13:0_15:0_16:0)_CoE,0.99336,-0.0094,0
TG(14:0_14:0_16:0)_CoE,0.99336,-0.0094,0
TG(14:0_18:0_20:0)_CoE,0.99598,-0.0161,0
TG(16:0_18:0_18:0)_CoE,0.99598,-0.0161,0
TG(12:0_15:0_16:0)_CoE,0.99785,-0.0083,0
TG(13:0_14:0_16:0)_CoE,0.99785,-0.0083,0
TG(13:0_15:0_15:0)_CoE,0.99785,-0.0083,0
TG(14:0_14:0_15:0)_CoE,0.99785,-0.0083,0
